strategy,layer,speedup,tuning,scale,ACC-all,F1,F1-ood,F1-ind
each_layer,1,1.0,valid_all,1.5+1.4,26.67,59.09,14.26,68.06
each_layer,2,1.0,valid_all,1.5+1.4,42.95,50.7,46.65,51.51
each_layer,3,1.0,valid_all,1.5+1.4,49.9,53.37,56.55,52.74
each_layer,4,1.0,valid_all,1.5+1.4,88.07,79.78,92.08,77.33
each_layer,5,1.0,valid_all,1.5+1.4,89.17,81.05,92.87,78.69
each_layer,6,1.0,valid_all,1.5+1.4,90.82,83.58,93.94,81.5
each_layer,7,1.0,valid_all,1.5+1.4,91.43,84.69,94.35,82.75
each_layer,8,1.0,valid_all,1.5+1.4,92.43,86.32,95.03,84.58
each_layer,9,1.0,valid_all,1.5+1.4,93.42,87.78,95.7,86.2
each_layer,10,1.0,valid_all,1.5+1.4,92.92,87.23,95.35,85.61
each_layer,11,1.0,valid_all,1.5+1.4,93.33,87.62,95.64,86.02
each_layer,12,1.0,valid_all,1.5+1.4,92.8,86.78,95.29,85.08
esm,-1,1.236922125444519,valid_all,1.5+1.4,92.55,86.45,95.12,84.72
pabee,-1,1.204516938519448,valid_all,1.5+1.4,91.37,85.43,94.27,83.66
random,-1,1.8510424968506567,valid_all,1.5+1.4,78.72,73.93,84.89,71.74
